(0.7768718275833791, 0.43125192696283765),'Enthusiasts'
  (0.7679476480836319, 0.47251092511612364)'Struggling'
  (0.6187477727722054, 0.36493773681580716),'Disadvantaged'
  (0.7126917412673192, 0.4279090187464299), 'Repeaters'
  (0.8751713158098289, 0.39153753764271215), 'Socially Engaged'
  (0.8534146803103977, 0.5155440313811991), 'Senior'
  (0.8479870441525375, 0.5525592470373893), 'Junior'
  (0.8930017979642836, 0.5397863382204712), 'Prosperous Immigrants'
  (0.8111384369876847, 0.48577724105952075), 'Challenged Immigrants'
  (0.7710678850355385, 0.5118747644218735),'Underexpect'
